id	variable	type	.y.	group1	group2	p	p.adj	p.format	p.signif	method	FC	Log2FC	Group_AID
LIHCTIM3_exp	TIM3_exp	LIHC	value	Absence	Presence	0.644441748110867	1	0.64444	ns	Wilcoxon	1.00225243548138	0.00324592325335305	1
LUADCCR5	CCR5	LUAD	value	Absence	Presence	0.0323699498054296	1	0.03237	*	Wilcoxon	1.26670871586423	0.341084809804981	1
LUADCTLA4_exp	CTLA4_exp	LUAD	value	Absence	Presence	0.277540408029071	1	0.27754	ns	Wilcoxon	1.02523456651784	0.0359540260589185	1
LUADCXCL13	CXCL13	LUAD	value	Absence	Presence	0.0320288074016775	1	0.03203	*	Wilcoxon	0.95190833475295	-0.0711054408546567	-1
LUADDOCK2	DOCK2	LUAD	value	Absence	Presence	0.122678058278095	1	0.12268	ns	Wilcoxon	1.21743886743887	0.283849330535891	1
LUADLAG3_exp	LAG3_exp	LUAD	value	Absence	Presence	0.000435897332466337	0.1	0.00044	***	Wilcoxon	1.09420674393638	0.129885352638637	1
LUADLymphocytes.x	Lymphocytes.x	LUAD	value	Absence	Presence	0.694917301827409	1	0.69492	ns	Wilcoxon	1.0123670219663	0.0177324172821134	1
LUADMacrophages	Macrophages	LUAD	value	Absence	Presence	0.216120798718766	1	0.21612	ns	Wilcoxon	1.09699429233774	0.133556019417072	1
LUADNK.Cells.Activated	NK.Cells.Activated	LUAD	value	Absence	Presence	0.770041272686528	1	0.77004	ns	Wilcoxon	1.29055027523241	0.367986344776065	1
LUADPD1_exp	PD1_exp	LUAD	value	Absence	Presence	0.0202996838845456	1	0.02030	*	Wilcoxon	1.06245786358347	0.0874056259989469	1
LUADPDL1_exp	PDL1_exp	LUAD	value	Absence	Presence	0.00299724246822388	0.7	0.00300	**	Wilcoxon	1.08406205388784	0.116447341815327	1
LUADPDL2_exp	PDL2_exp	LUAD	value	Absence	Presence	0.00893363410822642	1	0.00893	**	Wilcoxon	1.06280078928216	0.0878712043496297	1
LUADPRKCQ	PRKCQ	LUAD	value	Absence	Presence	0.760765804555991	1	0.76077	ns	Wilcoxon	1.19192055664392	0.25328808113958	1
LUADSTK24	STK24	LUAD	value	Absence	Presence	0.548228117213598	1	0.54823	ns	Wilcoxon	1.20089055067184	0.264104669612775	1
LUADT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	LUAD	value	Absence	Presence	0.01655634521726	1	0.01656	*	Wilcoxon	1.27851738828721	0.354471781874151	1
LUADT.Cells.CD8.x	T.Cells.CD8.x	LUAD	value	Absence	Presence	0.017675699398508	1	0.01768	*	Wilcoxon	1.33520093861104	0.417056873990068	1
LUADT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	LUAD	value	Absence	Presence	0.93660280224122	1	0.93660	ns	Wilcoxon	1.0256620348735	0.0365554278900549	1
LUADTIM3_exp	TIM3_exp	LUAD	value	Absence	Presence	0.0339535379167364	1	0.03395	*	Wilcoxon	1.04143326146122	0.0585703896004102	1
LUSCCCR5	CCR5	LUSC	value	Absence	Presence	0.433114329815979	1	0.43311	ns	Wilcoxon	1.00604808880394	0.0086992671919742	1
LUSCCTLA4_exp	CTLA4_exp	LUSC	value	Absence	Presence	0.562270178395555	1	0.56227	ns	Wilcoxon	1.01633140784625	0.0233709163762981	1
LUSCCXCL13	CXCL13	LUSC	value	Absence	Presence	0.488145819368523	1	0.48815	ns	Wilcoxon	1.80531611117118	0.852251475389073	1
LUSCDOCK2	DOCK2	LUSC	value	Absence	Presence	0.696663462083985	1	0.69666	ns	Wilcoxon	0.922411054304241	-0.116518292333121	-1
LUSCLAG3_exp	LAG3_exp	LUSC	value	Absence	Presence	0.182255943880768	1	0.18226	ns	Wilcoxon	1.02976475193676	0.0423147937405923	1
LUSCLymphocytes.x	Lymphocytes.x	LUSC	value	Absence	Presence	0.426959948909882	1	0.42696	ns	Wilcoxon	1.02268743635519	0.0323652820111772	1
LUSCMacrophages	Macrophages	LUSC	value	Absence	Presence	0.545339198650084	1	0.54534	ns	Wilcoxon	1.03361525024601	0.0476992612241815	1
LUSCNK.Cells.Activated	NK.Cells.Activated	LUSC	value	Absence	Presence	0.293825424034653	1	0.29383	ns	Wilcoxon	1.12189404584204	0.165936431065942	1
LUSCPD1_exp	PD1_exp	LUSC	value	Absence	Presence	0.393434510269315	1	0.39343	ns	Wilcoxon	1.02862360664586	0.0407151686611691	1
LUSCPDL1_exp	PDL1_exp	LUSC	value	Absence	Presence	0.978146073354063	1	0.97815	ns	Wilcoxon	1.00003526973898	5.08825802127719e-05	1
LUSCPDL2_exp	PDL2_exp	LUSC	value	Absence	Presence	0.821615521757763	1	0.82162	ns	Wilcoxon	1.0067184984057	0.00966032909526463	1
LUSCPRKCQ	PRKCQ	LUSC	value	Absence	Presence	0.664226753643454	1	0.66423	ns	Wilcoxon	1.18783614634118	0.248335840208978	1
LUSCSTK24	STK24	LUSC	value	Absence	Presence	0.70760294888751	1	0.70760	ns	Wilcoxon	1.00220841780529	0.003182560496319	1
LUSCT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	LUSC	value	Absence	Presence	0.348508586749635	1	0.34851	ns	Wilcoxon	1.66469202493698	0.735255297300385	1
LUSCT.Cells.CD8.x	T.Cells.CD8.x	LUSC	value	Absence	Presence	0.0799353143097095	1	0.07994	ns	Wilcoxon	1.17586894580083	0.233727276348494	1
LUSCT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	LUSC	value	Absence	Presence	0.0989183258799609	1	0.09892	ns	Wilcoxon	1.28736861389345	0.364425201416962	1
LUSCTIM3_exp	TIM3_exp	LUSC	value	Absence	Presence	0.802004544095473	1	0.80200	ns	Wilcoxon	1.01004411136469	0.014418300756695	1
PRADCCR5	CCR5	PRAD	value	Absence	Presence	0.269845724783592	1	0.26985	ns	Wilcoxon	1.11555113896958	0.157756650961451	1
PRADCTLA4_exp	CTLA4_exp	PRAD	value	Absence	Presence	0.944507651967882	1	0.94451	ns	Wilcoxon	1.00723791330265	0.0104044934756351	1
PRADCXCL13	CXCL13	PRAD	value	Absence	Presence	0.0414021174524345	1	0.04140	*	Wilcoxon	1.24782430312538	0.319414813323568	1
PRADDOCK2	DOCK2	PRAD	value	Absence	Presence	0.382148252512102	1	0.38215	ns	Wilcoxon	1.04387479798146	0.0619486858895298	1
PRADLAG3_exp	LAG3_exp	PRAD	value	Absence	Presence	0.428687032033018	1	0.42869	ns	Wilcoxon	1.00539828346846	0.00776713101318489	1
PRADLymphocytes.x	Lymphocytes.x	PRAD	value	Absence	Presence	0.557231618272317	1	0.55723	ns	Wilcoxon	1.01665168670168	0.0238254845637909	1
PRADMacrophages	Macrophages	PRAD	value	Absence	Presence	0.567584103177702	1	0.56758	ns	Wilcoxon	0.943179748854258	-0.0843953525463459	-1
PRADNK.Cells.Activated	NK.Cells.Activated	PRAD	value	Absence	Presence	0.0649970181538867	1	0.06500	ns	Wilcoxon	1.35585110583839	0.439198756156513	1
PRADPD1_exp	PD1_exp	PRAD	value	Absence	Presence	0.655603852189727	1	0.65560	ns	Wilcoxon	1.00715392211509	0.0102841855318602	1
PRADPDL1_exp	PDL1_exp	PRAD	value	Absence	Presence	0.911732743373699	1	0.91173	ns	Wilcoxon	1.00881856132886	0.0126667252779258	1
PRADPDL2_exp	PDL2_exp	PRAD	value	Absence	Presence	0.751173974371397	1	0.75117	ns	Wilcoxon	1.00449237881233	0.006466618236095	1
PRADPRKCQ	PRKCQ	PRAD	value	Absence	Presence	0.9979428139024	1	0.99794	ns	Wilcoxon	0.789092705417421	-0.341733291747218	-1
PRADSTK24	STK24	PRAD	value	Absence	Presence	0.806527097839889	1	0.80653	ns	Wilcoxon	1.04685640605044	0.0660635659686514	1
PRADT.Cells.CD8.x	T.Cells.CD8.x	PRAD	value	Absence	Presence	0.294952935439746	1	0.29495	ns	Wilcoxon	0.941470595061574	-0.0870120590189969	-1
PRADT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	PRAD	value	Absence	Presence	0.146990495867639	1	0.14699	ns	Wilcoxon	1.18583536721415	0.245903730465392	1
PRADTIM3_exp	TIM3_exp	PRAD	value	Absence	Presence	0.747265030171183	1	0.74727	ns	Wilcoxon	1.00566777368703	0.00815378385616971	1
THCACCR5	CCR5	THCA	value	Absence	Presence	0.96478219195795	1	0.96478	ns	Wilcoxon	1.15969658514075	0.213747398136683	1
THCACTLA4_exp	CTLA4_exp	THCA	value	Absence	Presence	0.811570608262895	1	0.81157	ns	Wilcoxon	0.986544766147755	-0.0195435777104069	-1
THCACXCL13	CXCL13	THCA	value	Absence	Presence	0.474048059662836	1	0.47405	ns	Wilcoxon	0.29845109445127	-1.74443355057686	-1
THCADOCK2	DOCK2	THCA	value	Absence	Presence	0.873719291021374	1	0.87372	ns	Wilcoxon	1.4580810837634	0.544070950042553	1
THCALAG3_exp	LAG3_exp	THCA	value	Absence	Presence	0.31840082094772	1	0.31840	ns	Wilcoxon	0.936036432858577	-0.0953634107181393	-1
THCALymphocytes.x	Lymphocytes.x	THCA	value	Absence	Presence	0.309910985326513	1	0.30991	ns	Wilcoxon	0.89927171163753	-0.153171008284658	-1
THCAMacrophages	Macrophages	THCA	value	Absence	Presence	0.411557013067576	1	0.41156	ns	Wilcoxon	1.0613536347174	0.0859054310391715	1
THCANK.Cells.Activated	NK.Cells.Activated	THCA	value	Absence	Presence	0.496462639224763	1	0.49646	ns	Wilcoxon	0.73281532416183	-0.448478422428049	-1
THCAPD1_exp	PD1_exp	THCA	value	Absence	Presence	0.691121259102656	1	0.69112	ns	Wilcoxon	0.970247460145322	-0.043575343470861	-1
THCAPDL1_exp	PDL1_exp	THCA	value	Absence	Presence	0.908615264407956	1	0.90862	ns	Wilcoxon	0.995151624380004	-0.00701173900422021	-1
THCAPDL2_exp	PDL2_exp	THCA	value	Absence	Presence	0.992955056506059	1	0.99296	ns	Wilcoxon	1.00026866536212	0.00038755012727428	1
THCAPRKCQ	PRKCQ	THCA	value	Absence	Presence	0.301572023630579	1	0.30157	ns	Wilcoxon	0.672522254057128	-0.572346087014897	-1
THCASTK24	STK24	THCA	value	Absence	Presence	0.922626284163734	1	0.92263	ns	Wilcoxon	0.988423402027355	-0.0167989264008222	-1
THCAT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	THCA	value	Absence	Presence	0.554901437109179	1	0.55490	ns	Wilcoxon	0	-3.5	-1
THCAT.Cells.CD8.x	T.Cells.CD8.x	THCA	value	Absence	Presence	0.639805309521063	1	0.63981	ns	Wilcoxon	0.838918089238774	-0.253398140024305	-1
THCAT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	THCA	value	Absence	Presence	0.372466563635452	1	0.37247	ns	Wilcoxon	0.671184350891173	-0.575219016110364	-1
THCATIM3_exp	TIM3_exp	THCA	value	Absence	Presence	0.59015725424631	1	0.59016	ns	Wilcoxon	1.03379322629907	0.0479476544882083	1
UCECCCR5	CCR5	UCEC	value	Absence	Presence	0.0131856107468682	1	0.01319	*	Wilcoxon	1.64347516044687	0.7167496516291	1
UCECCTLA4_exp	CTLA4_exp	UCEC	value	Absence	Presence	0.207065204953229	1	0.20707	ns	Wilcoxon	1.05115281349868	0.0719724193008488	1
UCECCXCL13	CXCL13	UCEC	value	Absence	Presence	0.0129542054491617	1	0.01295	*	Wilcoxon	0.674761718239979	-0.56754996843435	-1
UCECDOCK2	DOCK2	UCEC	value	Absence	Presence	0.03009099443375	1	0.03009	*	Wilcoxon	1.60728757607522	0.68462807926801	1
UCECLAG3_exp	LAG3_exp	UCEC	value	Absence	Presence	0.0599379423986271	1	0.05994	ns	Wilcoxon	1.07665986735434	0.106562553332587	1
UCECLymphocytes.x	Lymphocytes.x	UCEC	value	Absence	Presence	0.450397244174412	1	0.45040	ns	Wilcoxon	1.01237553382107	0.0177445472298191	1
UCECMacrophages	Macrophages	UCEC	value	Absence	Presence	0.573265714245642	1	0.57327	ns	Wilcoxon	1.02264577912276	0.0323065153689562	1
UCECNK.Cells.Activated	NK.Cells.Activated	UCEC	value	Absence	Presence	0.550468351180114	1	0.55047	ns	Wilcoxon	1.09282138698001	0.128057623173361	1
UCECPD1_exp	PD1_exp	UCEC	value	Absence	Presence	0.15578648316493	1	0.15579	ns	Wilcoxon	1.0649143057165	0.0907373405994479	1
UCECPDL1_exp	PDL1_exp	UCEC	value	Absence	Presence	0.187503187025944	1	0.18750	ns	Wilcoxon	1.03557096287007	0.0504264181387399	1
UCECPDL2_exp	PDL2_exp	UCEC	value	Absence	Presence	0.457186310566759	1	0.45719	ns	Wilcoxon	1.03267285314979	0.0463832862550484	1
UCECPRKCQ	PRKCQ	UCEC	value	Absence	Presence	0.66859510267024	1	0.66860	ns	Wilcoxon	0.656939782224883	-0.606166961580415	-1
UCECSTK24	STK24	UCEC	value	Absence	Presence	0.689223595316421	1	0.68922	ns	Wilcoxon	1.06316795022986	0.0883695195636561	1
UCECT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	UCEC	value	Absence	Presence	0.940309791936232	1	0.94031	ns	Wilcoxon	1.44927058550372	0.535326977862359	1
UCECT.Cells.CD8.x	T.Cells.CD8.x	UCEC	value	Absence	Presence	0.573265714245642	1	0.57327	ns	Wilcoxon	1.09381679154462	0.129371114671267	1
UCECT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	UCEC	value	Absence	Presence	0.821746381458015	1	0.82175	ns	Wilcoxon	1.04614482276213	0.0650825844893739	1
UCECTIM3_exp	TIM3_exp	UCEC	value	Absence	Presence	0.020925905403325	1	0.02093	*	Wilcoxon	1.06567065697785	0.0917616454536271	1
